test_name,risc0_proving_time_s,risc0_proving_time_ms,risc0_proof_size_kb,risc0_proof_size_bytes,risc0_peak_memory_gb,risc0_peak_memory_bytes,sp1_proving_time_s,sp1_proving_time_ms,sp1_proof_size_kb,sp1_proof_size_bytes,sp1_peak_memory_gb,sp1_peak_memory_bytes,time_speedup,time_diff_s,proof_size_ratio,proof_size_diff_kb,memory_ratio,memory_diff_gb,time_winner,proof_size_winner,memory_winner
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.50x max code size with zero data-opcode_CREATE2],15.253,15253.0,218.419921875,223662.0,644.7265625,692269875200.0,75.52,75520.0,1442.6357421875,1477259.0,474.8359375,509851205632.0,0.20197298728813562,-60.266999999999996,0.15140337611752577,-1224.2158203125,1.3577880517942051,169.890625,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.50x max code size with zero data-opcode_CREATE],15.114,15114.0,218.419921875,223662.0,362.0703125,388770037760.0,75.662,75662.0,1442.6357421875,1477259.0,164.19140625,176299180032.0,0.19975681319552746,-60.548,0.15140337611752577,-1224.2158203125,2.2051721266623843,197.87890625,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.75x max code size with non-zero data-opcode_CREATE2],16.544,16544.0,218.419921875,223662.0,642.8515625,690256609280.0,74.133,74133.0,1442.6357421875,1477259.0,406.8671875,436870316032.0,0.22316647107226203,-57.589,0.15140337611752577,-1224.2158203125,1.5800034562875631,235.984375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.75x max code size with non-zero data-opcode_CREATE],15.581,15581.0,218.419921875,223662.0,670.0390625,719448965120.0,70.365,70365.0,1442.6357421875,1477259.0,435.9296875,468075937792.0,0.22143110921622966,-54.78399999999999,0.15140337611752577,-1224.2158203125,1.5370347138837614,234.109375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.75x max code size with zero data-opcode_CREATE2],14.94,14940.0,218.419921875,223662.0,668.6328125,717939015680.0,75.56,75560.0,1442.6357421875,1477259.0,340.91015625,366049492992.0,0.1977236633139227,-60.620000000000005,0.15140337611752577,-1224.2158203125,1.9613167875517055,327.72265625,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-0.75x max code size with zero data-opcode_CREATE],15.358,15358.0,218.419921875,223662.0,462.3828125,496479764480.0,71.541,71541.0,1442.6357421875,1477259.0,449.0546875,482168799232.0,0.21467410296193792,-56.18299999999999,0.15140337611752577,-1224.2158203125,1.0296804050174846,13.328125,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-max code size with non-zero data-opcode_CREATE2],16.259,16259.0,218.419921875,223662.0,670.0390625,719448965120.0,72.393,72393.0,1442.6357421875,1477259.0,522.1796875,560686170112.0,0.2245935380492589,-56.134,0.15140337611752577,-1224.2158203125,1.2831580364757103,147.859375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-max code size with non-zero data-opcode_CREATE],16.116,16116.0,218.419921875,223662.0,453.0078125,486413434880.0,72.526,72526.0,1442.6357421875,1477259.0,301.53515625,323770908672.0,0.22220996608112953,-56.41,0.15140337611752577,-1224.2158203125,1.5023382949231148,151.47265625,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-max code size with zero data-opcode_CREATE2],15.915,15915.0,218.419921875,223662.0,638.1640625,685223444480.0,71.331,71331.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.22311477478235267,-55.416000000000004,0.15140337611752577,-1224.2158203125,1.4152185588800914,187.234375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_create[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-max code size with zero data-opcode_CREATE],15.254,15254.0,218.419921875,223662.0,594.5703125,638415011840.0,72.626,72626.0,1442.6357421875,1477259.0,449.0546875,482168799232.0,0.21003497370087845,-57.37200000000001,0.15140337611752577,-1224.2158203125,1.3240487830338037,145.515625,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_creates_collisions[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_CREATE2],15.1,15100.0,218.419921875,223662.0,712.2265625,764747448320.0,74.519,74519.0,1442.6357421875,1477259.0,473.4296875,508341256192.0,0.20263288557280693,-59.419000000000004,0.15140337611752577,-1224.2158203125,1.5043977623393125,238.796875,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_creates_collisions[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_CREATE],16.126,16126.0,218.419921875,223662.0,616.6015625,662070886400.0,72.516,72516.0,1442.6357421875,1477259.0,479.9921875,515387686912.0,0.22237850957030172,-56.39,0.15140337611752577,-1224.2158203125,1.284607496866811,136.609375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_initcode_jumpdest_analysis[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-00],30.178,30178.0,218.419921875,223662.0,698.6328125,750151270400.0,144.148,144148.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.20935427477314983,-113.97,0.15140337611752577,-1224.2158203125,1.5493165162251599,247.703125,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_initcode_jumpdest_analysis[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-5b],37.369,37369.0,218.419921875,223662.0,640.0390625,687236710400.0,180.595,180595.0,1442.6357421875,1477259.0,522.1796875,560686170112.0,0.20692156482737617,-143.226,0.15140337611752577,-1224.2158203125,1.2257065485719416,117.859375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_initcode_jumpdest_analysis[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-605b5b],28.836,28836.0,218.419921875,223662.0,712.6953125,765250764800.0,135.366,135366.0,1442.6357421875,1477259.0,476.7109375,511864471552.0,0.2130224724081379,-106.53000000000002,0.15140337611752577,-1224.2158203125,1.4950261393992035,235.984375,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_initcode_jumpdest_analysis[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-605b],25.68,25680.0,218.419921875,223662.0,672.3828125,721965547520.0,122.549,122549.0,1442.6357421875,1477259.0,522.1796875,560686170112.0,0.20954883352781334,-96.869,0.15140337611752577,-1224.2158203125,1.2876464339681921,150.203125,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_initcode_jumpdest_analysis[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-615b5b5b],27.028,27028.0,218.419921875,223662.0,611.9140625,657037721600.0,122.816,122816.0,1442.6357421875,1477259.0,265.91015625,285518856192.0,0.22006904637832203,-95.78800000000001,0.15140337611752577,-1224.2158203125,2.301206058202224,346.00390625,RISC0,RISC0,SP1
test_worst_bytecode.py::test_worst_initcode_jumpdest_analysis[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-615b5b],23.567,23567.0,218.419921875,223662.0,678.0078125,728005345280.0,118.901,118901.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.19820691163236642,-95.334,0.15140337611752577,-1224.2158203125,1.5035776780609504,227.078125,RISC0,RISC0,SP1
